,pitcher_name,pitcher_id,sample_size,num_pitch_types,train_acc,test_acc,best_epoch,naive_est,improvement,overfit
182,2018 Jake Faria,2018607188,1090.0,4.0,0.7026,0.6557,19.0,0.6073,0.0484,0.04690000000000005
183,2018 Tyler Glasnow,2018607192,1796.0,4.0,0.7439,0.7528,14.0,0.7077,0.0451,-0.008900000000000019
184,2018 Eric Skoglund,2018607215,1062.0,4.0,0.5842,0.5113,19.0,0.3183,0.193,0.07290000000000008
185,2018 Sal Romano,2018607219,2332.0,5.0,0.7421,0.7358,18.0,0.6389,0.0969,0.006299999999999972
186,2018 Robert Gsellman,2018607229,1145.0,5.0,0.676,0.7387,19.0,0.621,0.1177,-0.06269999999999998
187,2018 John Gant,2018607231,1811.0,5.0,0.5037,0.521,13.0,0.3838,0.1372,-0.017299999999999982
188,2018 Joe Biagini,2018607352,1161.0,5.0,0.5667,0.6289,10.0,0.5624,0.0665,-0.06220000000000003
189,2018 Nick Tropeano,2018607374,1161.0,5.0,0.5287,0.488,19.0,0.2765,0.2115,0.04069999999999996
190,2018 Kyle Freeland,2018607536,3177.0,5.0,0.5688,0.5836,12.0,0.402,0.1816,-0.014800000000000035
191,2018 Seth Lugo,2018607625,1515.0,5.0,0.5158,0.4881,18.0,0.3201,0.168,0.027700000000000058
192,2018 Lucas Giolito,2018608337,2899.0,5.0,0.4361,0.4759,6.0,0.3957,0.0802,-0.0398
193,2018 Michael Wacha,2018608379,1359.0,4.0,0.5672,0.5059,15.0,0.4238,0.0821,0.06130000000000002
194,2018 Germán Márquez,2018608566,3105.0,5.0,0.5662,0.5534,18.0,0.4548,0.0986,0.012800000000000034
195,2018 Drew Steckenrider,2018608716,1046.0,4.0,0.7755,0.7672,18.0,0.762,0.0052,0.008299999999999974
196,2018 Chris Stratton,2018608717,2367.0,6.0,0.52,0.5507,11.0,0.5104,0.0403,-0.03069999999999995
197,2018 Brent Suter,2018608718,1573.0,5.0,0.6989,0.7107,16.0,0.6726,0.0381,-0.011800000000000033
198,2018 Miguel Castro,2018612434,1343.0,4.0,0.6951,0.631,18.0,0.5778,0.0532,0.06410000000000005
199,2018 Wei-Yin Chen,2018612672,2136.0,5.0,0.5886,0.5955,18.0,0.5314,0.0641,-0.006900000000000017
200,2018 Zach Eflin,2018621107,1979.0,5.0,0.5539,0.5434,18.0,0.4634,0.08,0.010499999999999954
201,2018 Walker Buehler,2018621111,2093.0,6.0,0.4634,0.4656,11.0,0.4018,0.0638,-0.0022000000000000353
202,2018 Lance McCullers,2018621121,2090.0,4.0,0.6394,0.6444,19.0,0.4665,0.1779,-0.0050000000000000044
203,2018 Edwin Díaz,2018621242,1003.0,4.0,0.7035,0.7092,16.0,0.6301,0.0791,-0.005700000000000038
204,2018 José Berríos,2018621244,2863.0,4.0,0.53,0.5014,18.0,0.3472,0.1542,0.02860000000000007
205,2018 Corey Oswalt,2018621261,1000.0,5.0,0.2493,0.48,0.0,0.435,0.045,-0.2307
206,2018 Ryan Borucki,2018621366,1515.0,4.0,0.6963,0.7018,19.0,0.5881,0.1137,-0.005499999999999949
207,2018 Ty Blach,2018621389,1737.0,4.0,0.7074,0.6805,19.0,0.5792,0.1013,0.026900000000000035
208,2018 Alex Wood,2018622072,2388.0,4.0,0.636,0.6784,9.0,0.433,0.2454,-0.04239999999999999
209,2018 Luis Castillo,2018622491,2676.0,4.0,0.5162,0.5262,14.0,0.364,0.1622,-0.010000000000000009
210,2018 Antonio Senzatela,2018622608,1556.0,4.0,0.6281,0.6632,11.0,0.6324,0.0308,-0.03510000000000002
211,2018 Luis Severino,2018622663,3157.0,3.0,0.6008,0.6051,17.0,0.5011,0.104,-0.0042999999999999705
212,2018 Josh Hader,2018623352,1248.0,3.0,0.8301,0.8141,19.0,0.7925,0.0216,0.015999999999999903
213,2018 Reynaldo López,2018625643,3025.0,5.0,0.5908,0.6116,4.0,0.6073,0.0043,-0.02080000000000004
214,2018 Kenta Maeda,2018628317,1901.0,7.0,0.6021,0.5651,17.0,0.4161,0.149,0.03699999999999992
215,2018 Raisel Iglesias,2018628452,1014.0,4.0,0.5539,0.5472,16.0,0.3097,0.2375,0.006699999999999928
216,2018 Yonny Chirinos,2018630023,1264.0,4.0,0.6656,0.6646,16.0,0.572,0.0926,0.0010000000000000009
217,2018 Sean Manaea,2018640455,2246.0,4.0,0.671,0.6655,10.0,0.5619,0.1036,0.00550000000000006
218,2018 Heath Fillmyer,2018641571,1250.0,5.0,0.5229,0.5495,12.0,0.4808,0.0687,-0.026599999999999957
219,2018 Joe Jiménez,2018641729,1030.0,3.0,0.7202,0.6822,19.0,0.6612,0.021,0.03799999999999992
220,2018 Brad Keller,2018641745,2148.0,4.0,0.5531,0.5289,17.0,0.4427,0.0862,0.0242
221,2018 Chad Kuhl,2018641771,1407.0,5.0,0.4986,0.4062,16.0,0.3653,0.0409,0.09239999999999998
222,2018 Eric Lauer,2018641778,1846.0,5.0,0.6033,0.6299,11.0,0.5785,0.0514,-0.026600000000000068
223,2018 Tyler Mahle,2018641816,1927.0,4.0,0.6692,0.7033,9.0,0.6736,0.0297,-0.03410000000000002
224,2018 Lou Trivino,2018642152,1078.0,5.0,0.5928,0.4704,19.0,0.3989,0.0715,0.12240000000000001
225,2018 Ryan Yarbrough,2018642232,2294.0,5.0,0.6558,0.6463,18.0,0.3265,0.3198,0.009500000000000064
